Recency,Frequency,Monetary,Cluster,Customer_ID
207,7,7318,2,10404
513,3,3362,4,10405
709,2,2423,3,10406
36,7,4904,1,10407
592,4,5860,4,10408
201,5,2948,0,10409
635,5,2150,4,10410
275,3,2150,0,10411
152,6,5081,1,10412
54,7,1949,1,10413
216,6,4222,1,10414
532,5,2463,4,10415
129,5,1544,0,10416
561,5,3525,4,10417
706,5,6670,4,10418
660,2,2334,3,10419
35,5,3099,1,10421
101,8,3058,1,10422
1020,2,334,3,10423
26,7,3805,1,10424
97,6,4803,1,10425
59,5,4035,1,10426
376,5,2551,4,10427
366,4,3669,4,10428
219,1,1170,0,10429
593,5,3926,4,10430
530,3,1979,3,10431
145,7,6054,2,10432
93,5,6257,1,10433
44,6,6788,1,10434
157,6,2374,1,10435
110,3,1092,0,10436
1,5,5638,1,10437
508,2,889,3,10438
305,2,1841,0,10440
516,1,897,3,10441
41,3,3539,0,10442
101,4,2809,0,10443
274,7,5339,1,10444
261,8,5394,2,10445
162,3,2163,0,10446
161,5,7598,1,10447
527,1,52,3,10448
15,3,2569,0,10449
26,5,3472,1,10450
250,8,7450,2,10451
367,5,6023,4,10452
452,4,3535,4,10453
260,8,5730,2,10454
19,4,1459,0,10455
90,10,7663,2,10456
319,4,2168,0,10457
465,7,3667,4,10458
52,6,5962,1,10459
838,4,4296,3,10460
408,1,291,0,10461
153,8,4866,1,10462
98,5,4184,1,10463
369,2,1518,0,10464
1347,1,886,3,10465
441,5,4452,4,10466
94,6,3879,1,10467
406,3,1691,0,10468
154,3,3824,0,10469
190,9,5238,2,10470
291,4,2062,0,10471
1352,1,892,3,10472
864,2,2336,3,10473
251,4,1919,0,10474
158,6,7945,2,10475
323,4,4421,4,10476
52,9,7451,2,10477
9,4,3729,1,10478
725,1,130,3,10479
112,5,3045,1,10480
597,6,5141,4,10481
159,5,2237,0,10482
82,5,3183,1,10483
915,4,3154,3,10484
297,7,4249,1,10485
428,2,2011,0,10486
879,3,697,3,10487
126,7,5004,1,10488
145,4,2923,0,10489
204,4,2058,0,10490
16,9,7741,2,10491
21,6,6839,1,10492
105,8,8067,2,10493
24,4,1250,0,10494
36,7,5657,1,10495
4,5,2562,0,10496
146,5,1700,0,10497
134,3,1458,0,10498
61,5,5855,1,10499
74,5,2317,0,10500
222,3,2649,0,10501
71,6,5809,1,10502
11,5,3225,1,10503
125,4,2382,0,10504
234,6,4672,1,10505
826,3,2226,3,10506
149,5,5466,1,10507
2,6,5952,1,10508
150,7,6068,2,10509
337,7,5150,1,10510
280,4,5215,4,10511
8,10,6614,2,10512
16,5,7720,1,10513
143,9,6247,2,10514
190,5,4997,1,10515
122,9,10195,2,10516
208,4,2692,0,10517
6,5,1209,0,10518
1,10,9111,2,10519
26,7,7480,2,10520
66,9,9411,2,10521
878,1,784,3,10522
271,5,4358,1,10523
1263,1,69,3,10524
104,6,3713,1,10525
118,6,3188,1,10526
400,3,1368,0,10527
25,6,7709,2,10528
623,7,4355,4,10529
278,3,2471,0,10530
211,6,6289,1,10531
103,3,3098,0,10532
70,7,5980,1,10533
79,7,5911,1,10534
806,4,2992,3,10535
161,3,1887,0,10536
159,3,2233,0,10537
838,2,504,3,10538
830,2,2552,3,10539
591,4,3303,4,10540
673,2,2430,3,10541
363,5,3720,4,10542
64,13,9468,2,10543
274,4,1948,0,10544
835,3,840,3,10545
183,5,4568,1,10546
113,3,1103,0,10547
113,6,4441,1,10548
311,4,2756,0,10550
304,5,4862,4,10551
63,4,1822,0,10552
55,3,3556,0,10553
53,5,3593,1,10554
128,1,1010,0,10555
156,9,8593,2,10556
93,7,4514,1,10557
35,4,2706,0,10558
288,5,3467,4,10559
334,4,1970,0,10560
259,4,3110,0,10561
340,4,2393,0,10562
25,8,5087,1,10563
43,6,3205,1,10564
528,5,4444,4,10565
27,2,2365,0,10566
696,3,1383,3,10567
13,1,897,0,10568
117,5,5447,1,10569
311,7,4090,1,10570
383,1,716,0,10571
407,4,5274,4,10572
61,6,2999,1,10573
490,6,3845,4,10574
280,4,2720,0,10575
513,5,5285,4,10576
25,4,5418,1,10577
59,5,3427,1,10578
51,8,7536,2,10579
1169,2,475,3,10580
46,7,2259,1,10581
77,4,1837,0,10582
173,2,803,0,10583
200,5,3332,1,10584
205,3,2630,0,10585
146,5,5086,1,10586
76,5,3945,1,10587
114,7,4896,1,10588
295,5,4766,4,10589
44,6,6807,1,10590
37,7,4658,1,10591
173,4,2759,0,10592
362,6,5857,4,10593
503,2,2608,3,10594
122,7,6125,2,10595
589,3,2985,3,10596
453,2,694,3,10597
138,7,6315,2,10598
117,6,2758,1,10599
283,7,5017,1,10600
157,5,3561,1,10601
200,5,4478,1,10602
194,4,2774,0,10603
68,3,1547,0,10604
91,7,5965,1,10605
395,5,1483,4,10606
352,5,6138,4,10607
125,5,3397,1,10608
325,6,2579,4,10609
14,7,8312,2,10610
249,4,2876,0,10611
621,1,161,3,10612
89,4,3282,0,10613
11,7,5013,1,10614
201,10,5582,2,10615
742,1,1190,3,10616
161,5,5376,1,10617
1084,2,1539,3,10618
412,4,2970,4,10619
322,2,554,0,10620
290,9,5468,2,10621
25,5,2143,0,10622
336,8,8083,2,10623
428,3,2384,0,10624
95,3,2251,0,10625
126,3,1081,0,10626
1,7,7217,2,10627
676,3,1685,3,10628
510,5,2897,4,10629
662,3,2166,3,10630
176,7,4261,1,10631
662,3,4042,4,10632
163,4,1791,0,10633
194,3,2864,0,10634
172,4,3548,0,10635
228,2,858,0,10636
51,4,3458,0,10637
753,3,2633,3,10638
358,4,3892,4,10639
50,8,9109,2,10640
147,4,3233,0,10641
431,5,3057,4,10642
327,4,4286,4,10643
39,5,5150,1,10644
394,4,4745,4,10645
207,4,1795,0,10646
184,6,2686,1,10647
1261,1,380,3,10648
698,3,2322,3,10649
100,6,3055,1,10650
215,8,8144,2,10651
514,7,7594,2,10652
316,4,3003,0,10653
1209,1,1180,3,10654
65,5,2673,0,10655
139,6,4382,1,10656
187,4,3684,0,10657
36,5,2557,0,10658
222,3,2801,0,10659
246,5,3779,1,10660
320,5,4184,4,10661
574,2,2991,3,10662
153,8,4981,1,10663
100,11,11561,2,10664
75,3,938,0,10665
301,1,469,0,10666
449,3,2173,0,10667
86,6,5323,1,10668
80,3,2488,0,10669
170,9,8203,2,10670
116,4,3924,1,10671
235,4,3138,0,10672
62,5,4375,1,10673
419,6,2636,4,10674
127,5,3053,1,10675
154,8,7014,2,10676
861,3,2224,3,10677
833,3,4368,3,10678
119,5,1478,0,10679
994,2,3443,3,10680
175,5,2705,0,10681
114,6,3877,1,10682
328,3,2743,0,10683
259,4,2334,0,10684
186,6,3410,1,10685
582,3,2054,3,10686
253,5,3647,1,10687
325,9,3709,1,10688
345,4,1740,0,10689
159,4,4533,1,10690
258,3,1713,0,10691
65,7,3598,1,10692
61,4,1122,0,10693
274,7,2898,1,10694
108,3,2358,0,10695
45,5,4218,1,10696
11,12,11505,2,10697
220,8,8374,2,10698
1016,1,956,3,10699
183,10,5229,2,10700
243,5,3661,1,10701
18,5,5538,1,10702
68,6,3801,1,10703
14,9,6575,2,10704
292,3,2771,0,10705
689,2,3297,3,10706
376,4,1494,0,10707
27,5,3702,1,10708
14,6,5268,1,10709
71,7,6897,2,10710
81,9,8955,2,10711
184,5,4606,1,10712
194,10,8538,2,10713
119,4,2252,0,10714
9,7,4888,1,10715
20,5,3201,1,10716
293,5,3298,4,10717
88,5,5235,1,10718
7,4,1367,0,10719
57,5,2529,0,10720
131,5,4864,1,10721
329,4,2800,0,10722
166,5,5074,1,10723
121,5,4060,1,10724
175,5,4962,1,10725
57,7,5248,1,10726
208,5,5639,1,10727
611,7,5705,4,10728
39,7,5137,1,10729
206,3,749,0,10730
629,6,3900,4,10731
179,5,4556,1,10732
111,4,1376,0,10733
122,3,4908,1,10734
13,4,1714,0,10735
165,6,3653,1,10736
485,3,988,3,10737
95,8,5220,2,10738
378,4,4941,4,10739
86,5,3817,1,10740
137,8,5406,2,10741
55,5,4502,1,10742
112,7,4218,1,10743
1298,2,1264,3,10744
476,4,2613,4,10745
145,4,4289,1,10746
238,6,3699,1,10747
379,2,794,0,10748
16,9,6677,2,10749
53,6,4729,1,10750
82,7,5521,1,10751
652,5,2645,4,10752
566,4,2533,4,10753
21,4,2821,0,10754
666,2,2420,3,10755
400,4,2815,4,10756
180,7,7028,2,10757
188,2,612,0,10758
6,9,7416,2,10759
763,2,1726,3,10760
220,4,2504,0,10761
80,9,5043,2,10762
102,6,2919,1,10763
100,4,4213,1,10764
315,5,3362,4,10765
527,1,72,3,10766
57,7,4680,1,10767
247,7,3729,1,10768
215,6,5031,1,10769
42,5,4771,1,10770
103,5,4121,1,10771
735,2,870,3,10772
545,5,2586,4,10773
120,6,2739,1,10774
26,6,4347,1,10775
229,4,2909,0,10776
524,6,5614,4,10777
11,8,4198,1,10778
342,7,7279,2,10779
80,4,4689,1,10780
95,7,5942,1,10781
179,7,5801,1,10782
178,4,2621,0,10783
74,5,2597,0,10784
35,4,3728,1,10785
209,6,2058,1,10786
424,6,3198,4,10787
513,2,2444,3,10788
689,2,2030,3,10789
181,6,4081,1,10790
380,3,2310,0,10791
13,6,4090,1,10792
255,5,3729,1,10793
171,5,3968,1,10794
828,1,459,3,10795
20,5,3254,1,10796
355,3,1192,0,10797
521,4,1518,4,10798
222,5,3389,1,10799
396,5,7346,4,10800
491,4,1148,4,10801
161,8,4573,1,10802
325,6,3084,4,10803
715,1,942,3,10804
349,4,2031,0,10805
147,8,6301,2,10806
130,6,4657,1,10807
204,3,2891,0,10808
599,3,1477,3,10809
1250,1,1360,3,10810
563,4,3171,4,10811
682,5,3670,4,10812
5,11,11995,2,10813
566,2,1606,3,10814
139,7,4187,1,10815
619,3,2358,3,10816
74,5,3713,1,10817
431,3,543,0,10818
77,2,2483,0,10819
577,4,3604,4,10820
464,2,175,3,10821
53,4,1752,0,10822
309,5,5823,1,10823
398,2,837,0,10824
1003,1,1064,3,10825
136,6,4424,1,10826
419,4,2346,4,10827
74,7,3983,1,10828
229,6,2937,1,10829
119,10,5493,2,10830
17,5,1726,0,10831
694,2,1068,3,10832
50,9,8126,2,10833
57,6,6474,1,10834
100,7,5838,1,10835
327,8,7624,2,10836
149,5,2092,0,10837
375,7,3056,4,10838
1002,3,2742,3,10839
304,4,1131,0,10840
483,6,5236,4,10841
277,11,9283,2,10842
882,3,2815,3,10843
783,5,1631,3,10844
318,11,6606,2,10845
181,4,4765,1,10846
256,7,5140,1,10847
176,7,4500,1,10848
227,3,3611,0,10849
13,8,2860,1,10850
162,7,6435,2,10851
40,7,7031,2,10852
251,6,3202,1,10853
255,4,1022,0,10854
3,6,5086,1,10856
102,4,6035,1,10857
156,4,3013,0,10858
93,6,4340,1,10859
73,7,5569,1,10860
120,6,2190,1,10861
570,4,2357,4,10862
239,7,3281,1,10863
56,5,3341,1,10864
50,5,4130,1,10865
56,4,2476,0,10866
65,3,1174,0,10867
352,1,346,0,10868
137,8,8385,2,10869
37,6,2864,1,10870
323,6,3489,4,10871
204,5,2409,0,10872
58,6,7624,2,10873
373,3,1625,0,10874
343,3,2780,0,10875
161,7,8814,2,10876
156,6,3918,1,10877
56,6,2080,1,10878
676,2,1343,3,10879
87,5,4490,1,10880
65,8,5704,2,10881
95,3,1620,0,10882
653,4,3502,4,10883
805,5,3174,3,10884
25,9,8953,2,10885
1010,3,3899,3,10886
94,7,5551,1,10887
741,5,5001,4,10888
115,9,7169,2,10889
405,4,2757,4,10890
199,7,5991,2,10891
338,2,1856,0,10892
251,4,2540,0,10893
127,7,5375,1,10894
455,8,4710,4,10895
626,3,1596,3,10896
250,6,4114,1,10897
471,3,1206,0,10898
379,5,4212,4,10899
706,2,1365,3,10900
12,5,3215,1,10901
97,3,4181,0,10902
18,6,5042,1,10903
256,3,1715,0,10904
41,4,4199,1,10905
35,3,835,0,10906
28,7,4275,1,10907
203,6,3977,1,10908
440,7,6793,2,10909
140,5,2583,0,10910
146,3,3788,0,10911
642,4,4793,4,10912
26,9,3927,1,10913
161,4,2258,0,10914
322,4,4691,4,10915
224,9,8677,2,10916
248,6,2893,1,10917
110,9,6877,2,10918
70,7,4631,1,10919
798,3,2575,3,10920
218,2,2125,0,10921
319,4,2428,0,10922
73,9,4544,2,10923
61,6,3200,1,10924
190,9,4944,2,10925
314,2,316,0,10926
120,4,1847,0,10927
19,3,3137,0,10928
173,5,5321,1,10929
394,2,211,0,10930
311,6,3794,1,10931
13,5,5446,1,10932
24,5,2783,1,10933
272,7,3729,1,10934
436,4,3683,4,10935
382,4,1741,0,10936
102,4,3438,0,10937
735,4,2458,3,10938
240,5,2354,0,10939
569,6,5103,4,10940
463,4,4783,4,10941
454,5,3154,4,10942
7,8,8554,2,10943
1014,2,2370,3,10944
12,6,3178,1,10945
199,11,9628,2,10946
143,4,4143,1,10947
272,7,8176,2,10948
268,6,2879,1,10949
625,4,4529,4,10950
20,5,4994,1,10951
200,4,3547,0,10952
130,4,1618,0,10953
86,4,2561,0,10954
78,5,2702,0,10955
123,5,3234,1,10956
735,2,544,3,10957
739,3,1538,3,10958
7,10,5176,2,10959
447,4,2366,4,10960
30,7,5965,1,10961
306,4,3738,4,10962
949,2,836,3,10963
15,7,5106,1,10964
102,3,1077,0,10965
332,4,1080,0,10966
644,6,3645,4,10967
330,4,2633,0,10968
275,4,4117,4,10969
207,5,1407,0,10970
60,6,4497,1,10971
65,5,6327,1,10972
979,1,167,3,10973
269,5,4622,1,10974
26,4,3518,0,10975
84,4,4578,1,10976
58,12,6523,2,10977
606,2,2310,3,10978
308,3,2708,0,10979
134,6,4381,1,10981
287,2,284,0,10982
629,3,1338,3,10983
506,1,900,3,10984
587,8,7431,2,10985
97,5,3622,1,10986
113,9,5696,2,10987
663,5,2154,4,10988
69,9,6303,2,10989
122,7,6930,2,10990
176,4,3913,0,10991
275,1,624,0,10992
193,4,5777,1,10993
251,2,412,0,10994
92,5,5728,1,10995
171,5,2603,0,10996
69,2,741,0,10997
881,3,2542,3,10998
656,2,1116,3,10999
297,3,2585,0,11000
20,4,5126,1,11001
486,3,2404,4,11002
97,4,2578,0,11003
831,4,1525,3,11004
19,4,4103,1,11005
348,6,5204,4,11006
557,6,4832,4,11007
343,7,3313,4,11008
315,5,2710,4,11009
741,3,1608,3,11010
120,8,1605,1,11011
33,3,3114,0,11012
18,6,5872,1,11013
641,5,1976,4,11014
471,6,4026,4,11015
1025,1,293,3,11016
45,5,4145,1,11017
515,9,5154,2,11018
109,5,4326,1,11019
52,6,6288,1,11020
387,3,1550,0,11021
29,4,3168,0,11022
37,4,2694,0,11023
376,3,2144,0,11024
189,10,7955,2,11025
151,4,2172,0,11026
113,7,7165,2,11027
108,3,3854,0,11028
40,3,3358,0,11029
175,3,2309,0,11030
99,9,7138,2,11031
334,7,5890,1,11032
311,3,1815,0,11033
17,7,8559,2,11034
338,8,4444,1,11035
143,9,6182,2,11036
46,9,5986,2,11037
561,4,4641,4,11038
550,3,867,3,11040
17,6,8207,2,11041
687,2,929,3,11042
334,4,2529,0,11043
152,6,3228,1,11044
520,9,8309,2,11045
478,6,4172,4,11046
624,1,216,3,11047
543,5,4990,4,11048
190,8,4851,1,11049
5,9,6417,2,11050
1030,1,1392,3,11051
71,6,3211,1,11052
292,9,5013,2,11053
343,5,6352,4,11054
143,4,5756,1,11055
26,10,9686,2,11056
70,3,2324,0,11057
381,7,5452,1,11058
745,2,927,3,11059
227,11,5801,2,11060
173,4,1977,0,11061
136,4,3166,0,11062
18,4,2102,0,11063
149,3,895,0,11064
50,6,2836,1,11065
206,6,3197,1,11066
295,4,2512,0,11067
108,6,4869,1,11068
161,5,2556,0,11069
55,4,3182,0,11070
313,5,2593,4,11072
398,9,8725,2,11073
455,4,1956,4,11074
583,2,964,3,11075
110,8,5183,2,11076
196,7,8500,2,11077
44,9,6635,2,11078
382,4,4138,4,11079
116,7,3926,1,11080
87,6,3592,1,11081
662,4,4711,4,11082
267,8,9509,2,11083
342,5,1990,0,11084
88,4,3163,0,11085
157,7,5337,1,11086
117,4,6496,1,11087
72,4,5032,1,11088
551,3,682,3,11089
351,5,2041,4,11090
175,7,3573,1,11091
443,4,2482,4,11092
4,8,6410,2,11093
350,3,3375,0,11094
142,5,4943,1,11095
208,3,3220,0,11096
9,6,2649,1,11097
524,3,3172,4,11098
818,2,1730,3,11099
164,3,4776,0,11100
197,5,4435,1,11101
203,8,5805,2,11102
193,5,3349,1,11103
1,5,5487,1,11104
33,7,5620,1,11105
352,6,2947,4,11106
692,7,4605,4,11107
1,10,10124,2,11108
780,1,285,3,11109
68,5,2549,0,11110
136,5,3060,1,11111
38,6,2244,1,11112
290,3,2382,0,11113
300,4,1241,0,11114
25,3,1253,0,11115
99,6,5000,1,11116
462,7,4305,4,11117
76,7,7583,2,11118
56,8,3870,1,11119
397,2,827,0,11120
16,5,4352,1,11121
125,6,4536,1,11122
11,4,1926,0,11123
14,7,4456,1,11124
274,4,2214,0,11125
79,3,1917,0,11126
541,3,2616,4,11127
14,4,3862,1,11128
422,7,3994,4,11129
371,7,6944,2,11130
574,5,3740,4,11131
463,2,1843,3,11132
43,8,7829,2,11133
379,5,5764,4,11134
358,1,362,0,11135
12,4,3090,0,11136
77,8,7431,2,11137
168,6,5645,1,11138
219,8,6025,2,11139
87,7,1559,1,11140
261,6,6113,1,11141
854,4,3963,3,11142
1161,2,1296,3,11143
79,4,3627,0,11144
442,3,1469,0,11145
147,8,5789,2,11146
1,7,2429,1,11147
47,4,2900,0,11148
160,3,2197,0,11149
181,5,3140,1,11150
149,2,1974,0,11151
431,6,5798,4,11152
259,9,2789,1,11153
162,7,8314,2,11154
316,5,4219,4,11155
434,5,1912,4,11156
366,3,1728,0,11157
528,6,5545,4,11158
199,4,2430,0,11159
152,5,2725,0,11160
20,5,4768,1,11161
185,6,5769,1,11162
249,4,3464,0,11163
52,4,3281,0,11164
129,7,5609,1,11165
232,4,2573,0,11166
87,7,8288,2,11167
4,6,3774,1,11168
165,6,2918,1,11169
209,4,4161,1,11170
200,3,2592,0,11171
257,9,6786,2,11172
92,5,3558,1,11173
18,7,4583,1,11174
201,5,3362,1,11175
246,5,4326,1,11176
174,5,2791,0,11177
818,3,1404,3,11178
20,5,2466,0,11179
46,10,11594,2,11180
154,6,3396,1,11181
60,7,7663,2,11182
354,4,3281,4,11183
308,3,2643,0,11184
84,8,7369,2,11185
87,3,3384,0,11186
59,3,2322,0,11187
207,7,4536,1,11188
80,3,1651,0,11189
1333,1,828,3,11190
109,5,4920,1,11191
175,7,2252,1,11192
64,9,7422,2,11193
95,8,4462,1,11194
7,6,4876,1,11195
114,2,1514,0,11196
507,6,4286,4,11197
121,4,1716,0,11198
115,4,1940,0,11199
271,3,1241,0,11200
41,6,4695,1,11201
1020,1,117,3,11202
32,4,2935,0,11203
107,7,7225,2,11204
1164,1,1236,3,11205
830,2,3866,3,11206
38,2,2854,0,11207
194,5,5690,1,11208
71,7,7369,2,11209
130,5,3873,1,11210
399,3,2002,0,11211
322,3,3030,0,11212
439,8,5842,2,11213
132,6,3616,1,11214
933,2,880,3,11215
22,6,3910,1,11216
110,5,779,0,11217
173,6,5494,1,11218
297,7,6673,2,11219
266,3,2870,0,11220
311,6,2654,4,11221
12,6,9516,2,11222
150,7,10001,2,11223
696,2,4070,3,11224
196,6,4001,1,11225
137,4,4251,1,11226
120,6,6437,1,11227
838,3,4077,3,11228
127,5,4249,1,11229
68,6,3199,1,11230
72,1,612,0,11231
271,6,4832,1,11232
453,3,2143,0,11233
294,4,6267,4,11234
324,7,6200,2,11235
811,3,3000,3,11236
103,9,7748,2,11237
125,6,5124,1,11238
382,2,1293,0,11239
430,5,5438,4,11240
159,4,2494,0,11241
188,9,8596,2,11242
80,6,6662,1,11243
519,3,1545,3,11244
397,3,2377,0,11245
97,4,4470,1,11246
122,2,2071,0,11247
468,4,2559,4,11248
511,4,3853,4,11249
424,5,2212,4,11250
44,4,2554,0,11251
243,7,3262,1,11252
53,5,2487,0,11253
992,3,1775,3,11254
158,7,4905,1,11255
377,3,2448,0,11256
6,3,1622,0,11257
169,2,449,0,11258
59,6,3725,1,11259
354,5,4813,4,11260
164,3,2583,0,11261
29,7,5903,1,11262
603,5,4049,4,11263
217,2,2448,0,11264
33,4,3116,0,11265
13,7,3450,1,11266
166,9,7110,2,11267
489,3,3354,4,11268
477,3,2084,4,11269
76,7,4533,1,11270
341,5,7120,1,11271
408,5,2470,4,11272
105,9,9209,2,11273
50,6,5061,1,11274
173,5,3999,1,11275
582,4,4142,4,11276
140,5,5366,1,11277
8,7,4191,1,11278
116,3,1911,0,11279
113,6,4638,1,11280
241,2,1707,0,11281
181,4,2738,0,11282
263,3,1484,0,11283
235,5,1083,0,11284
115,8,3452,1,11285
374,2,2856,0,11286
330,2,1120,0,11287
9,7,4935,1,11288
104,4,2276,0,11289
564,3,2304,3,11290
111,7,4292,1,11291
361,4,3198,4,11292
289,4,5075,4,11293
1102,2,1110,3,11294
254,3,2966,0,11295
525,4,3797,4,11296
166,9,4975,2,11297
421,5,5786,4,11298
27,9,7791,2,11299
83,8,5282,2,11300
267,4,1784,0,11301
302,5,1911,0,11302
41,7,4833,1,11303
208,4,1419,0,11304
101,4,2013,0,11305
240,2,2984,0,11306
334,4,1952,0,11307
133,7,5852,1,11308
37,4,3884,1,11309
244,8,7124,2,11310
181,7,4824,1,11311
135,4,3566,0,11312
402,4,1146,0,11313
171,12,7422,2,11314
1234,1,228,3,11315
206,3,1465,0,11316
155,3,1405,0,11317
38,5,4895,1,11318
21,5,6220,1,11319
259,5,2731,0,11320
12,10,5964,2,11321
72,5,4799,1,11322
246,3,3870,0,11323
265,7,5851,1,11324
16,9,6756,2,11325
36,4,3148,0,11326
44,5,1865,0,11327
136,5,5893,1,11328
128,5,2418,0,11329
149,5,5536,1,11330
363,3,2593,0,11331
560,2,533,3,11332
56,5,2871,1,11333
102,2,875,0,11334
62,2,2349,0,11335
167,5,3373,1,11336
16,8,7116,2,11337
356,3,3566,4,11338
29,5,4701,1,11339
101,6,2982,1,11340
216,6,3985,1,11341
330,4,3172,4,11342
97,6,4441,1,11343
576,3,2549,3,11344
40,10,6904,2,11345
168,7,4199,1,11346
223,7,5418,1,11347
944,2,1425,3,11348
665,6,4806,4,11349
232,5,3210,1,11350
232,9,4878,2,11351
64,6,3753,1,11352
51,4,5516,1,11353
205,5,3464,1,11354
66,6,3189,1,11355
18,8,5492,2,11356
51,3,6290,1,11357
11,2,1236,0,11358
255,2,1043,0,11359
7,6,3095,1,11360
60,4,2857,0,11361
3,7,5618,1,11362
228,5,3281,1,11363
267,10,4890,2,11364
153,9,5304,2,11365
267,3,1682,0,11366
29,3,2658,0,11367
458,7,5981,4,11368
387,4,4284,4,11369
582,5,3263,4,11370
747,2,1271,3,11371
100,9,5529,2,11372
26,4,2960,0,11373
581,1,1712,3,11374
930,2,3053,3,11375
460,5,3259,4,11376
393,3,2305,0,11377
701,5,2239,4,11378
353,5,3330,4,11379
27,9,9610,2,11380
783,4,4321,4,11381
664,1,1280,3,11382
503,2,938,3,11383
243,5,2204,0,11384
181,6,4449,1,11385
30,9,5589,2,11386
761,2,1384,3,11387
157,5,3764,1,11388
15,8,8772,2,11389
296,6,2985,4,11390
250,9,11199,2,11391
681,4,3113,4,11392
3,6,5945,1,11393
271,7,6959,2,11394
8,8,6484,2,11395
130,6,4150,1,11396
107,6,5014,1,11397
118,7,6606,2,11398
91,5,2925,1,11399
784,4,1518,3,11400
15,10,6104,2,11401
250,7,4672,1,11402
256,6,4597,1,11403
114,2,767,0,11404
717,4,2458,3,11405
2,5,5065,1,11406
51,5,3044,1,11407
267,8,4832,1,11408
277,4,3806,4,11409
522,5,3342,4,11410
107,5,3343,1,11411
139,8,4982,1,11412
267,4,3584,0,11413
399,7,4106,4,11414
32,1,1419,0,11415
816,4,2447,3,11416
225,7,7700,2,11417
241,6,4236,1,11418
127,7,3640,1,11419
679,3,3620,3,11420
313,2,1235,0,11421
165,6,2783,1,11422
23,9,7899,2,11423
386,6,2859,4,11424
172,5,3340,1,11425
139,5,1957,0,11426
256,3,2352,0,11427
186,4,1402,0,11428
161,5,5767,1,11429
624,2,1419,3,11430
408,4,3502,4,11431
737,3,636,3,11432
93,6,3367,1,11433
379,4,4879,4,11434
800,3,4169,3,11435
886,1,174,3,11436
32,3,3922,0,11437
9,5,4531,1,11438
18,6,3526,1,11439
226,6,3757,1,11440
628,1,1416,3,11441
841,4,2019,3,11442
301,6,4578,1,11443
215,4,3605,0,11444
727,8,5970,4,11445
49,7,5530,1,11446
168,8,3723,1,11447
177,2,804,0,11448
296,6,6511,1,11449
133,9,4680,2,11450
61,7,5922,1,11451
154,3,1272,0,11452
329,4,3427,4,11453
648,2,2872,3,11454
23,7,2582,1,11455
518,4,3298,4,11456
637,2,1632,3,11457
46,5,2190,0,11458
255,7,5541,1,11459
404,2,1599,0,11460
73,8,8301,2,11461
309,10,6356,2,11462
1237,1,434,3,11463
976,2,726,3,11464
241,2,1965,0,11465
126,8,6800,2,11466
67,6,4173,1,11467
314,4,3615,4,11468
229,4,3768,0,11469
146,4,3531,0,11470
225,5,3096,1,11471
219,5,3708,1,11472
1198,2,1009,3,11473
23,3,681,0,11474
41,2,968,0,11475
132,5,3480,1,11476
411,7,5061,4,11477
141,2,914,0,11478
116,4,3878,1,11479
203,6,6074,1,11480
226,10,5973,2,11481
267,6,4787,1,11482
196,6,4956,1,11483
20,9,5793,2,11484
285,3,1950,0,11485
222,7,5472,1,11486
264,3,3032,0,11487
115,8,6101,2,11488
475,5,2915,4,11489
478,8,4148,4,11490
70,3,1842,0,11491
484,5,2699,4,11492
121,3,1613,0,11493
11,8,8800,2,11494
644,4,3991,4,11495
49,5,4087,1,11496
326,3,1834,0,11497
28,3,1847,0,11498
194,2,290,0,11499
208,4,2458,0,11500
28,4,3213,0,11501
95,4,3678,0,11502
188,4,3476,0,11503
239,8,3727,1,11504
305,5,4008,4,11505
18,10,6710,2,11506
541,1,364,3,11507
555,5,2189,4,11508
16,5,5512,1,11509
28,3,2457,0,11510
82,4,1810,0,11511
212,6,4742,1,11512
83,4,4369,1,11513
256,3,1749,0,11514
1169,2,1630,3,11515
16,6,7951,2,11516
74,5,3485,1,11517
71,5,1977,0,11518
376,5,2961,4,11519
178,7,2534,1,11520
169,6,4173,1,11521
194,9,10188,2,11522
343,5,4270,4,11523
384,3,2279,0,11524
16,8,6585,2,11525
155,4,2241,0,11526
475,2,1500,3,11527
124,6,4734,1,11528
239,3,784,0,11529
104,6,5206,1,11530
97,8,6239,2,11531
107,7,6727,2,11532
96,6,5269,1,11533
269,3,2306,0,11534
207,4,2217,0,11536
683,2,280,3,11537
124,7,6392,2,11538
47,6,3684,1,11539
228,6,3879,1,11540
492,2,1840,3,11541
420,5,4299,4,11542
395,6,3869,4,11543
217,5,2684,0,11544
905,5,5515,4,11545
254,6,8463,2,11546
589,3,1645,3,11547
110,8,6012,2,11549
380,6,4602,4,11550
896,2,2667,3,11551
59,3,2012,0,11552
2,5,3143,1,11553
135,6,3529,1,11554
1041,3,2880,3,11555
87,2,3141,0,11556
58,8,7822,2,11557
174,5,2281,0,11558
491,1,1320,3,11559
118,3,3282,0,11560
10,8,5610,2,11561
183,5,4875,1,11562
122,3,1675,0,11563
83,5,3035,1,11564
83,4,4402,1,11565
258,2,696,0,11566
14,5,4176,1,11567
266,3,4476,0,11568
14,6,5468,1,11569
350,2,1804,0,11570
60,4,4467,1,11571
12,3,1868,0,11572
149,6,6982,2,11573
316,4,4501,4,11574
2,4,2591,0,11575
54,6,4280,1,11576
102,6,1416,0,11577
110,3,2538,0,11578
105,6,4073,1,11579
182,7,5761,1,11580
40,7,5375,1,11581
